Loại công trình,Cấp công trình,Bước,<=10,20,50,100,200,500,1000,2000,5000,8000,10000,
"Công trình giao thông","Cấp đặc biệt","3 bước",2.05,1.92,1.68,1.50,1.36,1.24,1.08,0.92,0.68,0.51,0.45,
"Công trình giao thông","Cấp I","3 bước",1.44,1.39,1.13,1.05,0.95,0.81,0.68,0.58,0.44,0.34,0.28,
"Công trình giao thông","Cấp II","3 bước",1.19,1.08,0.92,0.84,0.77,0.70,0.60,0.51,0.39,0.29,0.25,
"Công trình giao thông","Cấp III","3 bước",1.05,0.93,0.81,0.74,0.68,0.58,0.48,0.43,0.32,0.25,0.21,
Công trình giao thông,Cấp IV,3 bước,0.95,0.87,0.76,0.69,0.59,0.49,0.43,,,,,
"Công trình giao thông","Cấp đặc biệt","2 bước",3.01,2.76,2.36,2.15,1.95,1.78,1.52,1.32,1.02,0.75,0.66,
"Công trình giao thông","Cấp I","2 bước",2.27,2.15,1.83,1.67,1.51,1.38,1.21,1.03,0.79,0.61,0.49,
"Công trình giao thông","Cấp II","2 bước",1.67,1.55,1.32,1.20,1.10,1.01,0.85,0.72,0.56,0.42,0.36,
"Công trình giao thông","Cấp III","2 bước",1.48,1.37,1.17,1.06,0.97,0.82,0.70,0.59,0.45,0.33,0.29,
"Công trình giao thông","Cấp IV","2 bước",1.37,1.26,1.08,0.98,0.83,0.71,,,,,,
"Công trình nông nghiệp và phát triển nông thôn","Cấp đặc biệt","3 bước",2.98,2.60,2.20,1.98,1.83,1.54,1.30,1.13,0.85,0.66,0.58,
"Công trình nông nghiệp và phát triển nông thôn","Cấp I","3 bước",2.70,2.36,1.99,1.78,1.66,1.39,1.17,1.02,0.77,0.59,0.52,
"Công trình nông nghiệp và phát triển nông thôn","Cấp II","3 bước",2.48,2.14,1.80,1.61,1.51,1.22,1.05,0.87,0.67,0.49,0.42,
"Công trình nông nghiệp và phát triển nông thôn","Cấp III","3 bước",2.20,1.90,1.60,1.43,1.24,1.06,0.90,0.77,0.59,0.43,0.37,
"Công trình nông nghiệp và phát triển nông thôn","Cấp IV","3 bước",1.74,1.52,1.27,1.12,1.01,0.80,0.64,,,,,
"Công trình nông nghiệp và phát triển nông thôn","Cấp đặc biệt","2 bước",4.29,4.10,3.65,3.10,2.85,2.10,1.87,1.58,1.25,1.05,0.83,
"Công trình nông nghiệp và phát triển nông thôn","Cấp I","2 bước",3.89,3.70,3.25,2.78,2.61,1.92,1.63,1.40,1.10,0.91,0.74,
"Công trình nông nghiệp và phát triển nông thôn","Cấp II","2 bước",3.53,3.36,2.91,2.46,2.25,1.61,1.33,1.13,0.90,0.75,0.58,
"Công trình nông nghiệp và phát triển nông thôn","Cấp III","2 bước",3.15,3.00,2.61,2.21,2.00,1.42,1.13,0.94,0.70,0.55,0.51,
"Công trình nông nghiệp và phát triển nông thôn","Cấp IV","2 bước",2.79,2.65,2.25,1.84,1.61,1.21,1.00,0.82,,,, 
"Công trình hạ tầng kỹ thuật",Cấp đặc biệt,3 bước,2.22,2.09,1.63,1.41,1.31,1.22,1.13,1.02,0.91,0.70,0.63,
"Công trình hạ tầng kỹ thuật",Cấp I,3 bước,2.09,1.95,1.53,1.32,1.22,1.14,1.04,0.94,0.84,0.58,0.49,
"Công trình hạ tầng kỹ thuật",Cấp II,3 bước,1.86,1.68,1.36,1.17,1.07,0.99,0.91,0.78,0.67,0.41,0.35,
"Công trình hạ tầng kỹ thuật",Cấp III,3 bước,1.63,1.45,1.19,1.07,0.97,0.90,0.81,0.66,0.54,0.31,0.25,
"Công trình hạ tầng kỹ thuật",Cấp IV,3 bước,1.45,1.27,1.02,0.90,0.82,0.75,0.67,0.58,,,, 
"Công trình hạ tầng kỹ thuật",Cấp đặc biệt,2 bước,3.23,2.79,2.35,2.14,1.94,1.64,1.41,1.26,1.10,0.90,0.63,
"Công trình hạ tầng kỹ thuật",Cấp I,2 bước,3.01,2.63,2.21,1.99,1.79,1.51,1.30,1.14,0.98,0.70,0.49,
"Công trình hạ tầng kỹ thuật",Cấp II,2 bước,2.68,2.33,1.97,1.74,1.56,1.31,1.13,0.98,0.84,0.58,0.43,
"Công trình hạ tầng kỹ thuật",Cấp III,2 bước,2.36,2.01,1.71,1.51,1.35,1.14,0.99,0.85,0.71,0.45,0.36,
"Công trình hạ tầng kỹ thuật",Cấp IV,2 bước,2.07,1.76,1.49,1.32,1.18,0.99,0.88,0.73,0.58,,,
